"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"16/05/2022";"28,99";"28,67";"29,65";"28,27";"2738555";
"17/05/2022";"30,22";"29,87";"30,42";"29,11";"2163279";
"18/05/2022";"29,56";"30,41";"30,71";"28,99";"2476184";
"19/05/2022";"29,62";"28,97";"30,31";"28,91";"2007111";
"20/05/2022";"30,1";"30,4";"30,48";"29,38";"2085391";
"24/05/2022";"30,38";"30,56";"30,75";"29,87";"1480902";
"25/05/2022";"30,84";"30,29";"31,02";"30,12";"1286895";
"26/05/2022";"31,55";"30,85";"31,76";"30,73";"1641719";
"27/05/2022";"32,11";"31,64";"32,29";"31,46";"942190";
"30/05/2022";"32,75";"32,53";"32,75";"32,19";"387247";
"31/05/2022";"30,99";"32,52";"32,88";"30,62";"3312783";
"01/06/2022";"30,72";"31,05";"31,5";"30,33";"951533";
"02/06/2022";"32,06";"30,67";"32,96";"30,67";"1217282";
"03/06/2022";"31,47";"31,78";"31,83";"31,14";"799030";
"06/06/2022";"31,41";"31,75";"31,79";"30,975";"1105629";
"07/06/2022";"33,85";"31,1";"34,92";"31";"2418505";
"08/06/2022";"34,28";"34,3";"35,41";"33,53";"2212327";
"09/06/2022";"33,2";"33,95";"33,98";"33,16";"1108837";
"10/06/2022";"32,62";"32,62";"33,11";"32,2";"948444";
"13/06/2022";"29,86";"31,1";"31,23";"29,61";"2120339";



